day,target_nwk,errors
2026-07-16,25060,7
2026-07-17,25060,26
2026-07-20,25060,20
2026-07-22,20396,1
2026-07-22,25060,9
2026-07-22,30016,1
2026-07-22,35721,1
2026-07-22,54505,1
2026-08-02,25060,48
2026-08-06,25060,3
2026-08-12,20396,7
2026-08-12,25060,56
2026-08-12,30016,1
2026-08-12,35721,1
2026-08-12,5449,1
2026-08-12,54505,10
2026-08-17,25060,2
2026-08-18,20396,29
2026-08-18,25060,114
2026-08-18,30016,1
2026-08-18,35721,3
2026-08-18,54505,28
2026-08-20,20396,2
2026-08-20,25060,7
2026-08-21,20396,60
2026-08-21,25060,117
2026-08-21,30016,6
2026-08-21,35721,1
2026-08-21,54505,44
2026-08-22,20396,163
2026-08-22,25060,494
2026-08-22,30016,13
2026-08-22,35721,5
2026-08-22,54505,150
2026-08-24,20396,4
2026-08-24,25060,15
2026-08-24,54505,3
